number,values_0,values_1,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_beta1,params_beta2,params_beta3,params_beta4,params_learning_rate,params_slope,params_threshold1,params_threshold2,params_threshold3,params_threshold4,params_weight,user_attrs_@5FPR accuracy,user_attrs_@5FPR aod_age,user_attrs_@5FPR aod_employment,user_attrs_@5FPR aod_income,user_attrs_@5FPR eod_age,user_attrs_@5FPR eod_employment,user_attrs_@5FPR eod_income,user_attrs_@5FPR fnr_ratio_age,user_attrs_@5FPR fnr_ratio_employment,user_attrs_@5FPR fnr_ratio_income,user_attrs_@5FPR fpr,user_attrs_@5FPR fpr_ratio_age,user_attrs_@5FPR fpr_ratio_employment,user_attrs_@5FPR fpr_ratio_income,user_attrs_@5FPR precision,user_attrs_@5FPR recall,user_attrs_@5FPR threshold,user_attrs_@global accuracy,user_attrs_@global auc,user_attrs_@global f1_score,user_attrs_@global fpr,user_attrs_@global precision,user_attrs_@global recall,user_attrs_@time inference,user_attrs_@time train,state
0,0.0,0.0,2025-04-05 23:34:53.352211,2025-04-05 23:45:00.598648,0 days 00:10:07.246437,0.97,0.974,0.2944338233503648,0.8739394685359335,0.20974049315572282,0.27071714029865973,0.000932792954021677,14,0.8831396198937514,0.19325410014400668,0.22316392265769047,0.39641409551257306,0.9663454513796453,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9859616604068094,0.5,0.0,0.0,0.0,0.0,10.003783226013184,594.9365749359131,COMPLETE
1,0.04627211479168209,0.23974982626824184,2025-04-05 23:45:00.600189,2025-04-05 23:55:09.269513,0 days 00:10:08.669324,0.976,0.977,0.17288256816818773,0.5715493437893755,0.10700186497888184,0.19514879258233483,0.00012877144835646265,25,0.5367401355523642,0.22123291299537778,0.7128252235935849,0.22621139553630915,0.962992004248271,0.9667723525681674,0.04627211479168209,0.08568302846994867,0.0671441629111902,0.07413495502138162,0.15233415233415235,0.12090678373002267,0.9036321855251898,0.8324324324324325,0.8595178322374976,0.022876140343933666,0.5312421816026054,0.22221158079451822,0.4977046269797323,0.1298456906285284,0.23974982626824184,1,0.9667723525681674,0.6084368429621541,0.16845703125,0.022876140343933666,0.1298456906285284,0.23974982626824184,10.135559797286987,596.1133623123169,COMPLETE
2,0.0,0.0,2025-04-05 23:55:09.271039,2025-04-06 00:05:18.414833,0 days 00:10:09.143794,0.985,0.988,0.11091720559468601,0.7874295618513646,0.3909763195283803,0.8785603915197222,0.00022303683123008162,23,0.12565194274084474,0.5350887330274482,0.3080314476086628,0.6930745990491225,0.9505080963103819,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9859616604068094,0.5,0.0,0.0,0.0,0.0,10.035027742385864,596.7902181148529,COMPLETE
3,0.0,0.43919388464211256,2025-04-06 00:05:18.416085,2025-04-06 00:15:27.604728,0 days 00:10:09.188643,0.971,0.971,0.16487463170171604,0.11225947426675997,0.5522139906950885,0.42866747568604124,9.799195267177727e-05,10,0.10450325686162479,0.7171001164201904,0.11829333666705967,0.35789830076105983,0.9806960531871741,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.9260036095800205,0.6860643992304027,0.1428409989829359,0.06706508618130727,0.08529014844804318,0.43919388464211256,10.040857076644897,596.8053872585297,COMPLETE
4,0.0,0.0,2025-04-06 00:15:27.606044,2025-04-06 00:25:37.956101,0 days 00:10:10.350057,0.989,0.986,0.14224052805753704,0.2964556523553464,0.12774246537368084,0.11825647736159058,0.0007422697315057088,35,0.26559205537724984,0.12849793097198853,0.10638927541628734,0.2055502556499988,0.9659498699029888,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9859616604068094,0.5,0.0,0.0,0.0,0.0,10.077195405960083,597.9672899246216,COMPLETE
5,0.0,0.5222376650451702,2025-04-06 00:25:37.957418,2025-04-06 00:35:47.623285,0 days 00:10:09.665867,0.972,0.99,0.24584178014902403,0.20037675317317882,0.612104981245882,0.9183286735934061,5.444830021745003e-05,24,0.13498517326650106,0.5743447422134892,0.20509061644902102,0.21640082939448374,0.9904355123334966,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8268182039900492,0.6766962769648307,0.07805764736432094,0.16884511111550868,0.042181185451279746,0.5222376650451702,10.249197721481323,597.0407373905182,COMPLETE
6,0.0,0.0,2025-04-06 00:35:47.624712,2025-04-06 00:45:57.285006,0 days 00:10:09.660294,0.98,0.986,0.15194850944462354,0.6855305724853499,0.16436465548046536,0.15531738301260206,1.8748213049644696e-06,45,0.6244337806191845,0.2693685364698821,0.36056197536045476,0.3319775049191767,0.981255192404084,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9859616604068094,0.5,0.0,0.0,0.0,0.0,10.095239162445068,597.1601305007935,COMPLETE
7,0.0,0.49409312022237667,2025-04-06 00:45:57.286675,2025-04-06 00:56:06.510521,0 days 00:10:09.223846,0.989,0.982,0.44981153284874975,0.1211819553765768,0.28298585772671386,0.1817240102209506,7.600630323048065e-06,33,0.7316355656234677,0.6317302042569372,0.2360504547931105,0.3000234275861661,0.9915118451515126,0.9859616604068094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.820281937466465,0.6595097030079092,0.07165893972989316,0.1750737142065581,0.03863080684596577,0.49409312022237667,10.089306116104126,596.727466583252,COMPLETE
8,0.07169735670994319,0.4065323141070188,2025-04-06 00:56:06.512011,2025-04-06 01:06:15.383049,0 days 00:10:08.871038,0.972,0.971,0.8755590103555487,0.1099661814326784,0.41980524073248665,0.8160049696038443,0.0008604360396838119,12,0.1816164896875291,0.4630094010918114,0.3271638250670348,0.6063457481565846,0.9558034650915381,0.9478708355689967,0.07169735670994319,0.19903722645493316,0.11932944532880724,0.10482797186398296,0.3540454329928014,0.20329926606763155,0.8270885868797094,0.6231129261689533,0.7333063391370854,0.04442146716007361,0.5103951051874914,0.08476960304383471,0.3496389939619574,0.11528229382205143,0.4065323141070188,1,0.9478708355689967,0.6810554234734726,0.17962692868657407,0.04442146716007361,0.11528229382205143,0.4065323141070188,10.239959001541138,596.2667508125305,COMPLETE
9,0.03562090119908321,0.263724808895066,2025-04-06 01:06:15.384366,2025-04-06 01:16:24.982796,0 days 00:10:09.598430,0.972,0.981,0.3002492627598529,0.8551692256136767,0.5724598808472937,0.5991643984092679,4.456750768490057e-05,24,0.5635359673343804,0.666063187453514,0.7761334060330048,0.14837721059819634,0.9640920065189825,0.9514023706160675,0.03562090119908321,0.05370537890417927,0.03874988368426792,0.040340392140946146,0.08382904435536015,0.0634114136772069,0.9455738542764703,0.8975422791212265,0.9196239743520079,0.03880632457997744,0.5341180289869832,0.4217375463978899,0.6706005492798023,0.08822503777751947,0.263724808895066,1,0.9514023706160675,0.6124592421575442,0.13221844787039458,0.03880632457997744,0.08822503777751947,0.263724808895066,10.092650651931763,597.080019235611,COMPLETE
